area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,19-Dec,yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186,Yelahanka Zone
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,Prityel,1075,2,1,35,Outside BBMP Zones
Super built-up  Area,Ready To Move,hebbal,3 BHK,Mahosya,1760,2,2,123,Yelahanka Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,GrrvaGr,1693,3,3,57.39,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,kasturi nagar,3 BHK,Kantsce,1925,3,,125,East Zone
Super built-up  Area,21-Dec,kanakpura road,2 BHK,PrarePa,700,2,1,36,South Zone
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,,1070,2,1,45.5,Unknown
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,Dieldli,1724,3,2,125,Mahadevapura Zone
Super built-up  Area,Ready To Move,chikkalasandra,3 BHK,,1290,2,2,56.12,South Zone
Built-up  Area,Ready To Move,uttarahalli,2 BHK,,1143,2,2,45,South Zone
Built-up  Area,Ready To Move,murugeshpalya,2 BHK,Gentson,1296,2,,81,East Zone
Super built-up  Area,19-Dec,sarjapur road,3 BHK,Soini T,1254,3,2,38,Bommanahalli Zone
Super built-up  Area,Ready To Move,ganga nagar,1 BHK,Ceove G,600,1,0,38,Outside BBMP Zones
Plot  Area,Ready To Move,yelahanka,1 Bedroom,,660,1,0,48,Yelahanka Zone
Super built-up  Area,19-Sep,kanakpura road,2 BHK,Soazak,1330.74,2,2,91.79,South Zone
Plot  Area,Ready To Move,hsr layout,8 Bedroom,,600,9,,200,Bommanahalli Zone
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,LancyRe,970,2,0,33,Bommanahalli Zone
Super built-up  Area,20-Sep,whitefield,2 BHK,Goted U,1459,2,1,94.82,Mahadevapura Zone
Plot  Area,Ready To Move,kr puram,2 Bedroom,,800,1,1,130,Mahadevapura Zone
Built-up  Area,Ready To Move,himagiri meadows,2 BHK,,869,2,1,36,Outside BBMP Zones
Super built-up  Area,Ready To Move,adarsh nagar,2 BHK,Bhncyis,1270,2,1,50,Unknown
Super built-up  Area,18-Mar,bhoganhalli,3 BHK,Rosha I,1670,3,1,99,Mahadevapura Zone
Built-up  Area,Ready To Move,whitefield,3 BHK,Suent V,2010,3,2,91,Mahadevapura Zone
Super built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,RothaVa,1185,2,2,75,West Zone
Super built-up  Area,Ready To Move,yelahanka,3 BHK,NCowsar,1600,2,3,75,Yelahanka Zone
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200,2,2,44,Bommanahalli Zone
Built-up  Area,20-Feb,devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192,Outside BBMP Zones
Super built-up  Area,Ready To Move,ramakrishnappa layout,2 BHK,PeBayle,1500,2,2,185,Outside BBMP Zones
Plot  Area,Ready To Move,murugeshpalya,6 Bedroom,,1407,4,1,150,East Zone
Super built-up  Area,Ready To Move,govindaraja nagar ward,2 BHK,,840,2,2,45,West Zone
Plot  Area,Ready To Move,tharabanahalli,3 Bedroom,,4395,3,2,240,Outside BBMP Zones
Super built-up  Area,Ready To Move,ganga nagar,2 BHK,Laavevi,845,2,1,55,Outside BBMP Zones
Plot  Area,Ready To Move,whitefield,4 Bedroom,Chranya,5700,5,3,650,Mahadevapura Zone
Built-up  Area,Ready To Move,varthur,2 BHK,HioraTr,1160,2,2,44,Mahadevapura Zone
Built-up  Area,Ready To Move,bommanahalli,8 Bedroom,,3000,8,0,140,Bommanahalli Zone
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,,1100,2,1,62,Bommanahalli Zone
Super built-up  Area,18-Apr,gunjur,2 BHK,BMineis,1140,2,3,43,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,,1220,2,1,57,Mahadevapura Zone
Plot  Area,Ready To Move,devarachikkanahalli,8 Bedroom,,1350,7,0,85,Bommanahalli Zone
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,,1005,2,1,36.68,South Zone
Plot  Area,Ready To Move,double road,3 Bedroom,,500,3,2,100,Unknown
Super built-up  Area,20-Aug,begur road,2 BHK,Pruthg,1358,2,1,80.58,Bommanahalli Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,Sonosty,1569,3,1,101,Yelahanka Zone
Super built-up  Area,18-Apr,haralur road,2 BHK,SNnia E,1240,2,1,70,Bommanahalli Zone
Super built-up  Area,Ready To Move,hennur road,3 BHK,Anavi B,2089,3,2,140,Yelahanka Zone
Super built-up  Area,Ready To Move,kothannur,2 BHK,,1206,2,1,48.23,Yelahanka Zone
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,,1150,2,3,40,Bommanahalli Zone
Built-up  Area,Ready To Move,cholanayakanahalli,3 BHK,Viony H,2511,3,3,205,Yelahanka Zone
Built-up  Area,Ready To Move,kaval byrasandra,2 BHK,,460,1,0,22,East Zone
Built-up  Area,Ready To Move,isro layout,6 Bedroom,,4400,6,3,250,South Zone
Super built-up  Area,Ready To Move,kodanda reddy layout,3 BHK,AdentEl,1660,2,2,105,Unknown
Built-up  Area,18-Oct,hennur road,4 Bedroom,Gollela,2957 - 3450,,,224.5,Yelahanka Zone
Super built-up  Area,19-Mar,yelahanka,2 BHK,Niareum,1326,2,2,78,Yelahanka Zone
Super built-up  Area,Ready To Move,garudachar palya,3 BHK,,1325,2,2,60.8,Mahadevapura Zone
Super built-up  Area,Ready To Move,epip zone,3 BHK,SJlynro,1499,5,2,102,Mahadevapura Zone
Built-up  Area,Ready To Move,hegde nagar,6 Bedroom,,3000,7,2,210,Yelahanka Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,,1665,3,2,88,South Zone
Super built-up  Area,17-Sep,dasanapura,2 BHK,Tavenew,708,2,2,37,Dasarahalli Zone
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,Srire S,1060,2,2,58.06,Mahadevapura Zone
Plot  Area,Ready To Move,rajaji nagar,6 Bedroom,,710,6,3,160,West Zone
Built-up  Area,Ready To Move,sanjay nagar,2 BHK,Saenti,1000,2,2,70,Yelahanka Zone
Super built-up  Area,18-Dec,electronic city,2 BHK,,1000,2,1,28.88,Bommanahalli Zone
Super built-up  Area,Ready To Move,mysore highway,3 BHK,,1450,2,2,70,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,isro layout,4 Bedroom,,1200,4,2,155,South Zone
Super built-up  Area,17-Aug,thanisandra,2 BHK,Bhmesy,1296,2,3,80,Yelahanka Zone
Super built-up  Area,Ready To Move,domlur,3 BHK,,1540,3,2,90,East Zone
Plot  Area,Ready To Move,kengeri,4 Bedroom,Goardth,2894,4,1,245,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,sarjapura - attibele road,3 BHK,,1330,2,1,48,Outside BBMP Zones
Built-up  Area,Ready To Move,devasthanagalu,2 BHK,,1200,2,1,65,Outside BBMP Zones
Built-up  Area,Ready To Move,t dasarahalli,3 Bedroom,,1200,3,1,90,Dasarahalli Zone
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,IBityin,2502,3,3,138,Dasarahalli Zone
Built-up  Area,Ready To Move,chandapura,2 BHK,KHityry,650,1,1,17,Outside BBMP Zones
Plot  Area,Ready To Move,kothanur,3 Bedroom,BDensar,2400,2,1,150,Yelahanka Zone
Super built-up  Area,Ready To Move,green view layout,2 BHK,Makeser,1007,2,2,43,Outside BBMP Zones
Super built-up  Area,Ready To Move,shantiniketan layout,2 BHK,Maest N,1200,2,2,50,Outside BBMP Zones
Super built-up  Area,Ready To Move,peenya,2 BHK,,966,2,2,49.9,Dasarahalli Zone
Built-up  Area,Ready To Move,nagarbhavi,3 BHK,,1630,2,1,98,West Zone
Built-up  Area,Ready To Move,rajaji nagar,3 BHK,Brway G,1640,3,2,229,West Zone
Built-up  Area,Ready To Move,jalahalli west,2 BHK,,782,2,2,55.68,Dasarahalli Zone
Super built-up  Area,19-Apr,devanahalli,2 BHK,Oznuean,1260,2,2,66.78,Outside BBMP Zones
Super built-up  Area,Ready To Move,lakshmiamma garden,3 BHK,,1800,3,3,120,Outside BBMP Zones
Super built-up  Area,Ready To Move,byatarayanapura,3 BHK,Reeroce,1413,2,2,75,Yelahanka Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,Sonviik,1116,2,1,51.91,Mahadevapura Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,DSgmax,1530,2,1,45.9,Bommanahalli Zone
Built-up  Area,Ready To Move,ramamurthy nagar,4 Bedroom,,3700,4,1,225,Mahadevapura Zone
Built-up  Area,Ready To Move,sarjapur road,3 Bedroom,Cetattu,2497,3,2,140,Bommanahalli Zone
Super built-up  Area,Ready To Move,kengeri,3 BHK,Vaens G,1540,2,3,64,Rajarajeshwari Nagar Zone
Super built-up  Area,18-Dec,thanisandra,3 BHK,,1436,3,1,74.75,Yelahanka Zone
Super built-up  Area,18-Jun,malleshwaram,2 BHK,,1100,2,2,75,West Zone
Plot  Area,Ready To Move,hennur road,2 Bedroom,,276,3,3,23,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Moity S,1427,3,2,120,Yelahanka Zone
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,HiahsLa,2061,3,1,200,Bommanahalli Zone
Super built-up  Area,18-Mar,hebbal,4 BHK,SNontle,3067 - 8156,4,0,477,Yelahanka Zone
Built-up  Area,Ready To Move,shampura,4 BHK,,2650,4,2,150,Yelahanka Zone
Super built-up  Area,22-Dec,devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,Outside BBMP Zones
Built-up  Area,Ready To Move,kadugodi,2 BHK,,1050,2,1,34,Mahadevapura Zone
Built-up  Area,Ready To Move,lb shastri nagar,3 BHK,Sragei,1600,3,2,65,East Zone
Super built-up  Area,22-Jan,vajarahalli,2 BHK,,945,2,1,54,South Zone
Super built-up  Area,Ready To Move,hormavu,2 BHK,SyidaCr,1500,2,1,78,Mahadevapura Zone
Plot  Area,Ready To Move,vishwapriya layout,7 Bedroom,,950,7,0,115,Bommanahalli Zone
Built-up  Area,Ready To Move,peenya,3 BHK,Jahts H,1870,3,3,110,Dasarahalli Zone
Plot  Area,Ready To Move,sarjapur,3 Bedroom,Inensba,1600,3,1,75,Outside BBMP Zones
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itelaa,880,1,1,16.5,Bommanahalli Zone
Plot  Area,Ready To Move,ramaswamy palya - kammanahalli main road,4 Bedroom,,1200,4,0,210,Unknown
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Srier P,1535,3,2,83,Bommanahalli Zone
Built-up  Area,Ready To Move,kanakpura road,2 BHK,Wiowsri,950,2,1,57,South Zone
Super built-up  Area,18-Aug,devanahalli,2 BHK,Derdsig,1360,2,1,65,Outside BBMP Zones
Super built-up  Area,19-Mar,8th phase jp nagar,2 BHK,Vaarech,1042 - 1105,2,0,54.005,Unknown
Super built-up  Area,18-May,bommasandra industrial area,3 BHK,,1280,3,1,50.4,Outside BBMP Zones
Super built-up  Area,19-Jan,chandra layout,3 BHK,TiaksAa,1260,2,2,85.05,West Zone
Built-up  Area,Ready To Move,hennur road,8 Bedroom,,5000,8,,250,Yelahanka Zone
Super built-up  Area,19-Dec,yelahanka,5 BHK,LedorSa,3050,5,1,213,Yelahanka Zone
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,HMwerCo,1563.05,3,1,105,Mahadevapura Zone
Super built-up  Area,Ready To Move,isro layout,2 BHK,,1000,2,1,60,South Zone
Super built-up  Area,17-Jul,anandapura,2 BHK,ViensRK,1167,2,1,43.76,East Zone
Super built-up  Area,Ready To Move,vishveshwarya layout,7 BHK,,4000,7,2,225,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,kothanur,3 BHK,Somumys,1828,3,,110,Yelahanka Zone
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,HoiewLa,890,2,1,35,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,basavanapura,3 BHK,Dwity T,1612,3,3,46.74,Mahadevapura Zone
Plot  Area,Ready To Move,dinnur,6 Bedroom,,1034,5,,185,Outside BBMP Zones
Super built-up  Area,19-Apr,mysore road,3 BHK,Brama P,1710,4,2,91.31,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,kannamangala,2 BHK,VBownre,957,2,1,58,Outside BBMP Zones
Super built-up  Area,18-May,devarachikkanahalli,3 BHK,,1250,2,3,44,Bommanahalli Zone
Super built-up  Area,Ready To Move,sanjeevini nagar,3 BHK,Betatsi,2795,4,,235,West Zone
Super built-up  Area,Ready To Move,hulimavu,2 BHK,Prcan P,1125,2,2,50,Bommanahalli Zone
Super built-up  Area,18-Jul,electronic city phase ii,2 BHK,Sryalan,1020,2,1,30.6,Bommanahalli Zone
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,,1200,2,2,50,Bommanahalli Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1735,3,3,135,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,G conTh,2050,3,1,145,Yelahanka Zone
Plot  Area,Ready To Move,mahalakshmi layout,4 Bedroom,,3750,4,0,760,West Zone
Built-up  Area,Ready To Move,yarandahalli,3 BHK,,1350,2,3,48,Outside BBMP Zones
Super built-up  Area,18-May,hosa road,2 BHK,SStusan,1063,2,1,32,Bommanahalli Zone
Super built-up  Area,Ready To Move,keshava nagar,3 BHK,ETens G,1904,3,1,150,Outside BBMP Zones
Built-up  Area,Ready To Move,whitefield,4 Bedroom,,4200,4,2,420,Mahadevapura Zone
Super built-up  Area,Ready To Move,rmv extension,3 BHK,Hohnari,2000,3,1,175,West Zone
Super built-up  Area,18-Dec,sarjapur,2 BHK,Kinuerg,1145 - 1340,2,0,43.49,Outside BBMP Zones
Super built-up  Area,Ready To Move,tejaswini nagar,3 BHK,Naods W,1425,2,2,75,South Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,GMown E,1500,2,1,64.5,Bommanahalli Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1060,2,1,60,Bommanahalli Zone
Built-up  Area,Ready To Move,jai bheema nagar,3 BHK,Sancyra,1470,2,2,70,Outside BBMP Zones
Super built-up  Area,Ready To Move,kothnur narayanapura,6 BHK,,1300,6,0,99,Yelahanka Zone
Super built-up  Area,Ready To Move,attibele,1 BHK,Jae 1hu,450,1,1,11,Outside BBMP Zones
Super built-up  Area,18-Apr,electronic city,2 BHK,Prarkun,1152,2,1,64.5,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,3 BHK,GMown E,1350,2,1,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,cv raman nagar,3 BHK,Srshq T,1550,3,3,65,East Zone
Plot  Area,Ready To Move,chikkatirupathi,3 Bedroom,,1500,3,2,100,Outside BBMP Zones
Plot  Area,Ready To Move,kumaraswami layout,5 Bedroom,,600,3,2,85,South Zone
Plot  Area,Ready To Move,nagavara,1 Bedroom,,400,1,0,14,Yelahanka Zone
Super built-up  Area,Ready To Move,malleshwaram,1 BHK,Utntspa,705,1,2,67,West Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,770,1,1,36,Bommanahalli Zone
Super built-up  Area,Ready To Move,hulimavu,2 BHK,Aniona,1242,2,3,51,Bommanahalli Zone
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,Goateds,1700,3,2,155,Yelahanka Zone
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,2144,3,2,145,Yelahanka Zone
Super built-up  Area,21-Jun,vijayanagar,3 BHK,Saahaat,1704,3,2,110,West Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1070,2,1,52,Bommanahalli Zone
Plot  Area,Ready To Move,8th block koramangala,3 Bedroom,,1846,3,2,300,Unknown
Super built-up  Area,Ready To Move,jakkuru layout,2 BHK,,1340,2,2,55.7,Yelahanka Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1025,2,1,46,Bommanahalli Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,MCvarar,1015 - 1540,2,0,56.8,Mahadevapura Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,VRave E,1200,2,2,52,Mahadevapura Zone
Built-up  Area,18-Dec,kanakpura road,4 Bedroom,,2250,4,1,110,South Zone
Super built-up  Area,Ready To Move,pattandur agrahara,3 BHK,MaidoPl,1550,2,3,80,Mahadevapura Zone
Plot  Area,Ready To Move,bellandur,4 Bedroom,,1200,5,,325,Mahadevapura Zone
Plot  Area,Ready To Move,ejipura,7 Bedroom,,1800,7,1,250,East Zone
Super built-up  Area,Ready To Move,marathahalli,2 BHK,Aiitya,1200,2,2,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,PuziaVe,1327,2,2,98,Yelahanka Zone
Super built-up  Area,Ready To Move,kothanur,2 BHK,,1186,2,2,58,Yelahanka Zone
Built-up  Area,Ready To Move,ms pallya,3 Bedroom,,1783,3,1,115,Yelahanka Zone
Super built-up  Area,Ready To Move,hsr layout,3 BHK,NRosete,1400,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,nagasandra,2 BHK,,980,2,1,48,Dasarahalli Zone
Super built-up  Area,Ready To Move,epip zone,2 BHK,,1285,2,2,82,Mahadevapura Zone
Super built-up  Area,Ready To Move,langford town,3 BHK,,912,2,1,70,East Zone
Built-up  Area,Ready To Move,whitefield,2 BHK,Sancya,1225,2,2,47.6,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,,1075,2,1,53,Mahadevapura Zone
Built-up  Area,Ready To Move,kadugodi,3 BHK,MSingco,1260,2,2,54,Mahadevapura Zone
Super built-up  Area,Ready To Move,yelahanka,3 BHK,Pyikad,1282,2,2,48.7,Yelahanka Zone
Super built-up  Area,Ready To Move,kogilu,3 BHK,CaIRSCr,1909,3,2,88,Yelahanka Zone
Super built-up  Area,Ready To Move,panathur,2 BHK,Prcesvy,1359,2,1,87,Mahadevapura Zone
Built-up  Area,Ready To Move,nagondanahalli,2 BHK,,1207,2,2,43.5,Mahadevapura Zone
Plot  Area,Ready To Move,padmanabhanagar,4 Bedroom,,1736,6,0,190,South Zone
Super built-up  Area,20-May,1st block jayanagar,4 BHK,,2850,4,1,428,Unknown
Super built-up  Area,Ready To Move,kammasandra,3 BHK,Emstael,1595,3,2,65,Outside BBMP Zones
Built-up  Area,18-Jun,off sarjapur road,3 BHK,,1798,3,2,89,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronics city phase 1,3 BHK,SNdri N,1475,3,2,78.29,Unknown
Super built-up  Area,Ready To Move,tala cauvery layout,3 BHK,HodhiSa,1580,3,3,100,South Zone
Super built-up  Area,Ready To Move,dasarahalli,2 BHK,Syonyph,1295,2,1,65,Dasarahalli Zone
Built-up  Area,Ready To Move,magadi road,6 Bedroom,,3600,6,0,141,West Zone
Super built-up  Area,Ready To Move,electronic city,1 BHK,Itvir M,589,1,1,27,Bommanahalli Zone
Super built-up  Area,Ready To Move,ngef layout,3 BHK,,1415,3,3,78,Mahadevapura Zone
Super built-up  Area,18-Dec,sarjapur road,3 BHK,Klark L,1787,3,2,98.29,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Klark L,1787,3,2,125,Bommanahalli Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,Piityra,1475,2,3,90,East Zone
Built-up  Area,Ready To Move,lakshminarayanapura electronic city phase 2,4 BHK,,2000,4,1,75.5,Unknown
Super built-up  Area,19-Mar,sarjapur road,2 BHK,AsastDe,984,2,1,44.28,Bommanahalli Zone
Super built-up  Area,19-Dec,devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82,Outside BBMP Zones
Super built-up  Area,Ready To Move,muthurayya swamy layout,3 BHK,MacleK,2405,4,2,260,Outside BBMP Zones
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Brnia G,1080,2,2,72,Unknown
Plot  Area,Ready To Move,shantiniketan layout,2 Bedroom,,1500,2,1,115,Outside BBMP Zones
Super built-up  Area,Ready To Move,hebbal,3 BHK,,1900,3,2,119,Yelahanka Zone
Super built-up  Area,19-Aug,dommasandra,2 BHK,,805,2,1,22.14,Outside BBMP Zones
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1153,2,2,56.4,Outside BBMP Zones
Super built-up  Area,Ready To Move,dodda nekkundi extension,2 BHK,AlEcone,1148,2,2,60,Mahadevapura Zone
Super built-up  Area,Ready To Move,mylasandra,2 BHK,Laowsba,1110,2,2,55,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,electronic city,2 BHK,Saave R,1100,2,2,42,Bommanahalli Zone
Super built-up  Area,Ready To Move,kalyan nagar,2 BHK,Anave S,1290,2,2,110,East Zone
Super built-up  Area,Ready To Move,dr shivarama karantha nagar,3 BHK,,1500,2,1,65,Yelahanka Zone
Super built-up  Area,18-Apr,bank of baroda colony,2 BHK,,1080,2,2,39,South Zone
Super built-up  Area,21-Jun,vijayanagar,3 BHK,Saityat,1933,3,1,129,West Zone
Built-up  Area,Ready To Move,ramamurthy nagar,5 Bedroom,,3500,5,2,150,Mahadevapura Zone
Built-up  Area,Ready To Move,kullappa colony,2 BHK,,1060,2,2,60,East Zone
Super built-up  Area,18-Aug,chandapura,1 BHK,SunceEs,645,1,1,16.45,Outside BBMP Zones
Plot  Area,Ready To Move,mukkutam nagar,8 Bedroom,,2600,8,2,180,Unknown
Super built-up  Area,18-Sep,chandapura,1 BHK,SunceEs,645,1,1,16.45,Outside BBMP Zones
Super built-up  Area,Ready To Move,ashwath nagar,3 BHK,SJcerpe,1644,3,3,84,East Zone
Super built-up  Area,Ready To Move,ncpr industrial layout,2 BHK,Supams,1285,2,3,72.5,Unknown
Plot  Area,Ready To Move,electronic city,3 Bedroom,,1200,3,1,90,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,CoapeSo,910,2,1,40,Bommanahalli Zone
Super built-up  Area,Ready To Move,kothanur,3 BHK,Bisic C,1577,3,1,70,Yelahanka Zone
Plot  Area,17-May,meenakunte,3 Bedroom,Sreat R,4050,3,2,280,Outside BBMP Zones
Super built-up  Area,Ready To Move,ombr layout,3 BHK,Inntsa,2420,3,2,185,East Zone
Super built-up  Area,Ready To Move,chandapura,2 BHK,KHityry,800,1,1,20,Outside BBMP Zones
Built-up  Area,Ready To Move,anand nagar,2 BHK,,1060,2,2,55,West Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1270,2,2,93,Unknown
Super built-up  Area,18-Jun,shree ananth nagar layout,2 BHK,,900,2,2,22.5,Outside BBMP Zones
Built-up  Area,Ready To Move,kundalahalli colony,2 Bedroom,,1280,2,1,69,Mahadevapura Zone
Plot  Area,Ready To Move,horamavu agara,4 Bedroom,,1200,2,0,95,Mahadevapura Zone
Built-up  Area,Ready To Move,sarjapur road,2 BHK,,1025,2,2,36,Bommanahalli Zone
Super built-up  Area,17-Jun,electronic city,2 BHK,Prarkun,1108,2,1,63,Bommanahalli Zone
Plot  Area,Ready To Move,mcechs layout,5 Bedroom,,1200,5,,170,Yelahanka Zone
Super built-up  Area,Ready To Move,coffee board layout,3 BHK,Calyxy,3045,3,2,170,Yelahanka Zone
Plot  Area,Ready To Move,ambedkar nagar,4 Bedroom,Thessrm,2900,3,2,300,East Zone
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,JJortom,1500,3,2,75.5,West Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1295,2,2,43.9,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1162,2,1,59.9,Outside BBMP Zones
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Usquaya,1035,2,2,49.2,Bommanahalli Zone
Built-up  Area,Ready To Move,attibele,4 Bedroom,Natic T,1600,4,0,52.8,Outside BBMP Zones
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,,1464,3,2,46,Bommanahalli Zone
Super built-up  Area,18-Oct,hennur road,3 BHK,DSapeSk,1866,2,2,61.58,Yelahanka Zone
Super built-up  Area,Ready To Move,geleyara balaga layout,2 BHK,Jahtsa,700,1,1,26,West Zone
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,Prillot,1804,3,2,120,Bommanahalli Zone
