area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Super built-up  Area,Ready To Move,peenya,2 BHK,Unknown,966.0,2.0,2.0,49.9,Dasarahalli Zone,2,5165.631469979296
Built-up  Area,Ready To Move,nagarbhavi,3 BHK,Unknown,1630.0,2.0,1.0,98.0,West Zone,3,6012.269938650306
Built-up  Area,Ready To Move,rajaji nagar,3 BHK,Brway G,1640.0,3.0,2.0,229.0,West Zone,3,13963.414634146342
Built-up  Area,Ready To Move,jalahalli west,2 BHK,Unknown,782.0,2.0,2.0,55.68,Dasarahalli Zone,2,7120.204603580562
Super built-up  Area,Ready To Move,lakshmiamma garden,3 BHK,Unknown,1800.0,3.0,3.0,120.0,Outside BBMP Zones,3,6666.666666666667
Super built-up  Area,Ready To Move,byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0,Yelahanka Zone,3,5307.855626326964
Super built-up  Area,Ready To Move,whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91,Mahadevapura Zone,2,4651.433691756272
Super built-up  Area,Ready To Move,electronic city,3 BHK,DSgmax,1530.0,2.0,1.0,45.9,Bommanahalli Zone,3,3000.0
Built-up  Area,Ready To Move,ramamurthy nagar,4 Bedroom,Unknown,3700.0,4.0,1.0,225.0,Mahadevapura Zone,4,6081.081081081081
Built-up  Area,Ready To Move,sarjapur road,3 Bedroom,Cetattu,2497.0,3.0,2.0,140.0,Bommanahalli Zone,3,5606.728073688426
Super built-up  Area,Ready To Move,kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0,Rajarajeshwari Nagar Zone,3,4155.8441558441555
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0,Yelahanka Zone,3,8409.250175192712
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0,Bommanahalli Zone,3,9704.02717127608
Built-up  Area,Ready To Move,shampura,4 BHK,Unknown,2650.0,4.0,2.0,150.0,Yelahanka Zone,4,5660.377358490566
Built-up  Area,Ready To Move,kadugodi,2 BHK,Unknown,1050.0,2.0,1.0,34.0,Mahadevapura Zone,2,3238.095238095238
Built-up  Area,Ready To Move,lb shastri nagar,3 BHK,Sragei,1600.0,3.0,2.0,65.0,East Zone,3,4062.5
Super built-up  Area,Ready To Move,hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0,Mahadevapura Zone,2,5200.0
Built-up  Area,Ready To Move,peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0,Dasarahalli Zone,3,5882.35294117647
Plot  Area,Ready To Move,sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0,Outside BBMP Zones,3,4687.5
Plot  Area,Ready To Move,ramaswamy palya - kammanahalli main road,4 Bedroom,Unknown,1200.0,4.0,0.0,210.0,Unknown,4,17500.0
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0,Bommanahalli Zone,3,5407.166123778502
Built-up  Area,Ready To Move,kanakpura road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0,South Zone,2,6000.0
Built-up  Area,Ready To Move,hennur road,8 Bedroom,Unknown,5000.0,8.0,2.0,250.0,Yelahanka Zone,8,5000.0
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,Mahadevapura Zone,3,6717.635392341896
Super built-up  Area,Ready To Move,isro layout,2 BHK,Unknown,1000.0,2.0,1.0,60.0,South Zone,2,6000.0
Super built-up  Area,Ready To Move,vishveshwarya layout,7 BHK,Unknown,4000.0,7.0,2.0,225.0,Rajarajeshwari Nagar Zone,7,5625.0
Super built-up  Area,Ready To Move,kothanur,3 BHK,Somumys,1828.0,3.0,2.0,110.0,Yelahanka Zone,3,6017.505470459519
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0,Rajarajeshwari Nagar Zone,2,3932.5842696629215
Super built-up  Area,Ready To Move,basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74,Mahadevapura Zone,3,2899.5037220843674
Super built-up  Area,Ready To Move,kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0,Outside BBMP Zones,2,6060.606060606061
Super built-up  Area,Ready To Move,sanjeevini nagar,3 BHK,Betatsi,2795.0,4.0,2.0,235.0,West Zone,3,8407.871198568873
Super built-up  Area,Ready To Move,hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0,Bommanahalli Zone,2,4444.444444444444
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,Unknown,1200.0,2.0,2.0,50.0,Bommanahalli Zone,2,4166.666666666667
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1735.0,3.0,3.0,135.0,Yelahanka Zone,3,7780.979827089337
Super built-up  Area,Ready To Move,thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0,Yelahanka Zone,3,7073.170731707317
Plot  Area,Ready To Move,mahalakshmi layout,4 Bedroom,Unknown,3750.0,4.0,0.0,760.0,West Zone,4,20266.666666666668
Built-up  Area,Ready To Move,yarandahalli,3 BHK,Unknown,1350.0,2.0,3.0,48.0,Outside BBMP Zones,3,3555.5555555555557
Super built-up  Area,Ready To Move,keshava nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0,Outside BBMP Zones,3,7878.151260504202
Built-up  Area,Ready To Move,whitefield,4 Bedroom,Unknown,4200.0,4.0,2.0,420.0,Mahadevapura Zone,4,10000.0
Super built-up  Area,Ready To Move,rmv extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0,West Zone,3,8750.0
Super built-up  Area,Ready To Move,tejaswini nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0,South Zone,3,5263.1578947368425
Super built-up  Area,Ready To Move,electronic city,3 BHK,GMown E,1500.0,2.0,1.0,64.5,Bommanahalli Zone,3,4300.0
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1060.0,2.0,1.0,60.0,Bommanahalli Zone,2,5660.377358490566
Built-up  Area,Ready To Move,jai bheema nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0,Outside BBMP Zones,3,4761.9047619047615
Super built-up  Area,Ready To Move,electronic city,3 BHK,GMown E,1350.0,2.0,1.0,56.0,Bommanahalli Zone,3,4148.148148148148
Super built-up  Area,Ready To Move,cv raman nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0,East Zone,3,4193.548387096775
Plot  Area,Ready To Move,chikkatirupathi,3 Bedroom,Unknown,1500.0,3.0,2.0,100.0,Outside BBMP Zones,3,6666.666666666667
Plot  Area,Ready To Move,nagavara,1 Bedroom,Unknown,400.0,1.0,0.0,14.0,Yelahanka Zone,1,3500.0
Super built-up  Area,Ready To Move,malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0,West Zone,1,9503.54609929078
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,770.0,1.0,1.0,36.0,Bommanahalli Zone,2,4675.324675324675
Super built-up  Area,Ready To Move,hulimavu,2 BHK,Aniona,1242.0,2.0,3.0,51.0,Bommanahalli Zone,2,4106.280193236715
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0,Yelahanka Zone,3,9117.64705882353
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,2144.0,3.0,2.0,145.0,Yelahanka Zone,3,6763.059701492537
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1070.0,2.0,1.0,52.0,Bommanahalli Zone,2,4859.813084112149
Plot  Area,Ready To Move,8th block koramangala,3 Bedroom,Unknown,1846.0,3.0,2.0,300.0,Unknown,3,16251.354279523293
Super built-up  Area,Ready To Move,jakkuru layout,2 BHK,Unknown,1340.0,2.0,2.0,55.7,Yelahanka Zone,2,4156.7164179104475
Built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1025.0,2.0,1.0,46.0,Bommanahalli Zone,2,4487.804878048781
Super built-up  Area,Ready To Move,kr puram,2 BHK,MCvarar,1277.5,2.0,0.0,56.8,Mahadevapura Zone,2,4446.183953033268
Super built-up  Area,Ready To Move,marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0,Mahadevapura Zone,2,4333.333333333333
Super built-up  Area,Ready To Move,pattandur agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0,Mahadevapura Zone,3,5161.290322580645
Super built-up  Area,Ready To Move,marathahalli,2 BHK,Aiitya,1200.0,2.0,2.0,60.0,Mahadevapura Zone,2,5000.0
Super built-up  Area,Ready To Move,yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0,Yelahanka Zone,2,7385.079125847777
Super built-up  Area,Ready To Move,kothanur,2 BHK,Unknown,1186.0,2.0,2.0,58.0,Yelahanka Zone,2,4890.387858347386
Built-up  Area,Ready To Move,ms pallya,3 Bedroom,Unknown,1783.0,3.0,1.0,115.0,Yelahanka Zone,3,6449.8037016264725
Super built-up  Area,Ready To Move,hsr layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0,Bommanahalli Zone,3,4000.0
Super built-up  Area,Ready To Move,nagasandra,2 BHK,Unknown,980.0,2.0,1.0,48.0,Dasarahalli Zone,2,4897.959183673469
Super built-up  Area,Ready To Move,epip zone,2 BHK,Unknown,1285.0,2.0,2.0,82.0,Mahadevapura Zone,2,6381.322957198444
Super built-up  Area,Ready To Move,langford town,3 BHK,Unknown,912.0,2.0,1.0,70.0,East Zone,3,7675.438596491228
Built-up  Area,Ready To Move,whitefield,2 BHK,Sancya,1225.0,2.0,2.0,47.6,Mahadevapura Zone,2,3885.714285714286
Super built-up  Area,Ready To Move,whitefield,2 BHK,Unknown,1075.0,2.0,1.0,53.0,Mahadevapura Zone,2,4930.232558139535
Built-up  Area,Ready To Move,kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0,Mahadevapura Zone,3,4285.714285714285
Super built-up  Area,Ready To Move,yelahanka,3 BHK,Pyikad,1282.0,2.0,2.0,48.7,Yelahanka Zone,3,3798.751950078003
Super built-up  Area,Ready To Move,kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0,Yelahanka Zone,3,4609.743321110529
Super built-up  Area,Ready To Move,panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0,Mahadevapura Zone,2,6401.766004415011
Built-up  Area,Ready To Move,nagondanahalli,2 BHK,Unknown,1207.0,2.0,2.0,43.5,Mahadevapura Zone,2,3603.976801988401
Plot  Area,Ready To Move,padmanabhanagar,4 Bedroom,Unknown,1736.0,6.0,0.0,190.0,South Zone,4,10944.700460829494
Super built-up  Area,Ready To Move,kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0,Outside BBMP Zones,3,4075.2351097178685
Super built-up  Area,Ready To Move,electronics city phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29,Unknown,3,5307.796610169492
Super built-up  Area,Ready To Move,tala cauvery layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0,South Zone,3,6329.113924050633
Super built-up  Area,Ready To Move,dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0,Dasarahalli Zone,2,5019.305019305019
Built-up  Area,Ready To Move,magadi road,6 Bedroom,Unknown,3600.0,6.0,0.0,141.0,West Zone,6,3916.6666666666665
Super built-up  Area,Ready To Move,electronic city,1 BHK,Itvir M,589.0,1.0,1.0,27.0,Bommanahalli Zone,1,4584.040747028863
Super built-up  Area,Ready To Move,ngef layout,3 BHK,Unknown,1415.0,3.0,3.0,78.0,Mahadevapura Zone,3,5512.367491166077
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Klark L,1787.0,3.0,2.0,125.0,Bommanahalli Zone,3,6994.963626189144
Super built-up  Area,Ready To Move,koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0,East Zone,3,6101.6949152542375
Built-up  Area,Ready To Move,lakshminarayanapura electronic city phase 2,4 BHK,Unknown,2000.0,4.0,1.0,75.5,Unknown,4,3775.0
Super built-up  Area,Ready To Move,muthurayya swamy layout,3 BHK,MacleK,2405.0,4.0,2.0,260.0,Outside BBMP Zones,3,10810.81081081081
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0,Unknown,2,6666.666666666667
Plot  Area,Ready To Move,shantiniketan layout,2 Bedroom,Unknown,1500.0,2.0,1.0,115.0,Outside BBMP Zones,2,7666.666666666667
Super built-up  Area,Ready To Move,hebbal,3 BHK,Unknown,1900.0,3.0,2.0,119.0,Yelahanka Zone,3,6263.1578947368425
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4,Outside BBMP Zones,2,4891.587163920208
Super built-up  Area,Ready To Move,dodda nekkundi extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0,Mahadevapura Zone,2,5226.480836236934
Super built-up  Area,Ready To Move,mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0,Rajarajeshwari Nagar Zone,2,4954.954954954955
Built-up  Area,Ready To Move,electronic city,2 BHK,Saave R,1100.0,2.0,2.0,42.0,Bommanahalli Zone,2,3818.181818181818
Super built-up  Area,Ready To Move,kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0,East Zone,2,8527.131782945737
Super built-up  Area,Ready To Move,dr shivarama karantha nagar,3 BHK,Unknown,1500.0,2.0,1.0,65.0,Yelahanka Zone,3,4333.333333333333
Built-up  Area,Ready To Move,ramamurthy nagar,5 Bedroom,Unknown,3500.0,5.0,2.0,150.0,Mahadevapura Zone,5,4285.714285714285
Built-up  Area,Ready To Move,kullappa colony,2 BHK,Unknown,1060.0,2.0,2.0,60.0,East Zone,2,5660.377358490566
Plot  Area,Ready To Move,mukkutam nagar,8 Bedroom,Unknown,2600.0,8.0,2.0,180.0,Unknown,8,6923.076923076923
Super built-up  Area,Ready To Move,ashwath nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0,East Zone,3,5109.489051094891
Super built-up  Area,Ready To Move,ncpr industrial layout,2 BHK,Supams,1285.0,2.0,3.0,72.5,Unknown,2,5642.023346303502
Plot  Area,Ready To Move,electronic city,3 Bedroom,Unknown,1200.0,3.0,1.0,90.0,Bommanahalli Zone,3,7500.0
Super built-up  Area,Ready To Move,electronic city,2 BHK,CoapeSo,910.0,2.0,1.0,40.0,Bommanahalli Zone,2,4395.604395604396
Super built-up  Area,Ready To Move,kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0,Yelahanka Zone,3,4438.807863031072
Super built-up  Area,Ready To Move,ombr layout,3 BHK,Inntsa,2420.0,3.0,2.0,185.0,East Zone,3,7644.628099173554
Built-up  Area,Ready To Move,anand nagar,2 BHK,Unknown,1060.0,2.0,2.0,55.0,West Zone,2,5188.679245283019
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0,Unknown,2,7322.834645669292
Built-up  Area,Ready To Move,kundalahalli colony,2 Bedroom,Unknown,1280.0,2.0,1.0,69.0,Mahadevapura Zone,2,5390.625
Plot  Area,Ready To Move,horamavu agara,4 Bedroom,Unknown,1200.0,2.0,0.0,95.0,Mahadevapura Zone,4,7916.666666666667
Built-up  Area,Ready To Move,sarjapur road,2 BHK,Unknown,1025.0,2.0,2.0,36.0,Bommanahalli Zone,2,3512.1951219512193
Super built-up  Area,Ready To Move,coffee board layout,3 BHK,Calyxy,3045.0,3.0,2.0,170.0,Yelahanka Zone,3,5582.922824302134
Plot  Area,Ready To Move,ambedkar nagar,4 Bedroom,Thessrm,2900.0,3.0,2.0,300.0,East Zone,4,10344.827586206897
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,JJortom,1500.0,3.0,2.0,75.5,West Zone,3,5033.333333333333
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1295.0,2.0,2.0,43.9,Rajarajeshwari Nagar Zone,2,3389.96138996139
Super built-up  Area,Ready To Move,budigere,2 BHK,PrityTr,1162.0,2.0,1.0,59.9,Outside BBMP Zones,2,5154.9053356282275
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Usquaya,1035.0,2.0,2.0,49.2,Bommanahalli Zone,2,4753.623188405797
Built-up  Area,Ready To Move,attibele,4 Bedroom,Natic T,1600.0,4.0,0.0,52.8,Outside BBMP Zones,4,3300.0
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,Unknown,1464.0,3.0,2.0,46.0,Bommanahalli Zone,3,3142.0765027322404
Super built-up  Area,Ready To Move,geleyara balaga layout,2 BHK,Jahtsa,700.0,1.0,1.0,26.0,West Zone,2,3714.285714285714
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,Prillot,1804.0,3.0,2.0,120.0,Bommanahalli Zone,3,6651.884700665189
Super built-up  Area,Ready To Move,sarjapur,2 BHK,Unknown,913.0,2.0,1.0,32.0,Outside BBMP Zones,2,3504.9288061336256
Built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Unknown,883.0,2.0,1.0,45.0,Rajarajeshwari Nagar Zone,2,5096.262740656852
